,Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,RL,65.0,8450,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,BrkFace,196.0,4,3,PConc,4,3,No,GLQ,706,Unf,0,150,856,GasA,5,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,Typ,0,0,Attchd,2003.0,RFn,2,548,3,3,Y,0,61,0,0,0,0,0,2,2008,WD,Normal,208500
1,2,20,RL,80.0,9600,Reg,Lvl,FR2,Gtl,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,None,0.0,3,3,CBlock,4,3,Gd,ALQ,978,Unf,0,284,1262,GasA,5,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,Typ,1,3,Attchd,1976.0,RFn,2,460,3,3,Y,298,0,0,0,0,0,0,5,2007,WD,Normal,181500
2,3,60,RL,68.0,11250,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,BrkFace,162.0,4,3,PConc,4,3,Mn,GLQ,486,Unf,0,434,920,GasA,5,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,Typ,1,3,Attchd,2001.0,RFn,2,608,3,3,Y,0,42,0,0,0,0,0,9,2008,WD,Normal,223500
3,4,70,RL,60.0,9550,IR1,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,None,0.0,3,3,BrkTil,3,4,No,ALQ,216,Unf,0,540,756,GasA,4,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,Typ,1,4,Detchd,1998.0,Unf,3,642,3,3,Y,0,35,272,0,0,0,0,2,2006,WD,Abnorml,140000
4,5,60,RL,84.0,14260,IR1,Lvl,FR2,Gtl,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,BrkFace,350.0,4,3,PConc,4,3,Av,GLQ,655,Unf,0,490,1145,GasA,5,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,Typ,1,3,Attchd,2000.0,RFn,3,836,3,3,Y,192,84,0,0,0,0,0,12,2008,WD,Normal,250000
5,6,50,RL,85.0,14115,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,None,0.0,3,3,Wood,4,3,No,GLQ,732,Unf,0,64,796,GasA,5,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,Typ,0,0,Attchd,1993.0,Unf,2,480,3,3,Y,40,30,0,320,0,0,700,10,2009,WD,Normal,143000
6,7,20,RL,75.0,10084,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,Stone,186.0,4,3,PConc,5,3,Av,GLQ,1369,Unf,0,317,1686,GasA,5,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2004.0,RFn,2,636,3,3,Y,255,57,0,0,0,0,0,8,2007,WD,Normal,307000
7,8,60,RL,,10382,IR1,Lvl,Corner,Gtl,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,Stone,240.0,3,3,CBlock,4,3,Mn,ALQ,859,BLQ,32,216,1107,GasA,5,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,Typ,2,3,Attchd,1973.0,RFn,2,484,3,3,Y,235,204,228,0,0,0,350,11,2009,WD,Normal,200000
8,9,50,RM,51.0,6120,Reg,Lvl,Inside,Gtl,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,None,0.0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,952,952,GasA,4,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,Min1,2,3,Detchd,1931.0,Unf,2,468,2,3,Y,90,0,205,0,0,0,0,4,2008,WD,Abnorml,129900
9,10,190,RL,50.0,7420,Reg,Lvl,Corner,Gtl,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,None,0.0,3,3,BrkTil,3,3,No,GLQ,851,Unf,0,140,991,GasA,5,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,Typ,2,3,Attchd,1939.0,RFn,1,205,4,3,Y,0,4,0,0,0,0,0,1,2008,WD,Normal,118000
10,11,20,RL,70.0,11200,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,None,0.0,3,3,CBlock,3,3,No,Rec,906,Unf,0,134,1040,GasA,5,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1965.0,Unf,1,384,3,3,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,129500
11,12,60,RL,85.0,11924,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Stone,286.0,5,3,PConc,5,3,No,GLQ,998,Unf,0,177,1175,GasA,5,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,Typ,2,4,BuiltIn,2005.0,Fin,3,736,3,3,Y,147,21,0,0,0,0,0,7,2006,New,Partial,345000
12,13,20,RL,,12968,IR2,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,None,0.0,3,3,CBlock,3,3,No,ALQ,737,Unf,0,175,912,GasA,3,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,0,Detchd,1962.0,Unf,1,352,3,3,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,144000
13,14,20,RL,91.0,10652,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,Stone,306.0,4,3,PConc,4,3,Av,Unf,0,Unf,0,1494,1494,GasA,5,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2006.0,RFn,3,840,3,3,Y,160,33,0,0,0,0,0,8,2007,New,Partial,279500
14,15,20,RL,,10920,IR1,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,No,BLQ,733,Unf,0,520,1253,GasA,3,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,Attchd,1960.0,RFn,1,352,3,3,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,157000
15,16,45,RM,51.0,6120,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,None,0.0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,832,832,GasA,5,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,0,Detchd,1991.0,Unf,2,576,3,3,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,132000
